<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.23	12:17:00	1578.10	1578.10	1578.09	1578.09	2	0	90
2025.12.23	12:18:00	1578.08	1578.08	1578.06	1578.06	3	0	90
2025.12.23	12:19:00	1578.01	1578.01	1578.00	1578.00	4	0	90
2025.12.23	12:20:00	1578.00	1578.00	1577.98	1577.98	3	0	90
2025.12.23	12:21:00	1577.97	1577.97	1577.95	1577.95	3	0	90
2025.12.23	12:22:00	1577.95	1577.95	1577.94	1577.94	2	0	90
2025.12.23	12:23:00	1577.94	1577.94	1577.94	1577.94	1	0	90
2025.12.23	12:24:00	1577.94	1577.94	1577.94	1577.94	1	0	90
2025.12.23	12:25:00	1577.96	1577.96	1577.96	1577.96	1	0	90
2025.12.23	12:26:00	1577.95	1577.97	1577.95	1577.97	3	0	90
2025.12.23	12:27:00	1577.97	1578.11	1577.97	1577.99	5	0	90
2025.12.23	12:28:00	1578.00	1578.00	1578.00	1578.00	1	0	90
2025.12.23	12:29:00	1578.02	1578.03	1578.02	1578.03	2	0	90
2025.12.23	12:30:00	1578.04	1578.05	1578.04	1578.05	2	0	90
2025.12.23	12:31:00	1578.05	1578.06	1578.05	1578.06	2	0	90
2025.12.23	12:32:00	1578.07	1578.08	1578.07	1578.08	2	0	90
2025.12.23	12:33:00	1578.08	1578.09	1578.08	1578.09	2	0	90
2025.12.23	12:34:00	1578.09	1578.10	1578.09	1578.10	2	0	90
2025.12.23	12:35:00	1578.11	1578.11	1578.11	1578.11	1	0	90
2025.12.23	12:36:00	1578.11	1578.11	1578.10	1578.10	2	0	90
2025.12.23	12:38:00	1578.07	1578.07	1578.07	1578.07	1	0	90
2025.12.23	12:39:00	1578.07	1578.07	1578.06	1578.06	2	0	90
2025.12.23	12:40:00	1578.05	1578.05	1578.03	1578.03	3	0	90
2025.12.23	12:41:00	1578.03	1578.03	1578.02	1578.03	3	0	90
2025.12.23	12:44:00	1577.95	1577.95	1577.94	1577.94	2	0	90
2025.12.23	12:45:00	1577.94	1577.94	1577.91	1577.91	3	0	90
2025.12.23	12:46:00	1577.90	1577.90	1577.89	1577.89	2	0	90
2025.12.23	12:47:00	1577.89	1577.89	1577.88	1577.89	3	0	90
2025.12.23	12:48:00	1577.89	1577.89	1577.89	1577.89	1	0	90
2025.12.23	12:49:00	1577.89	1577.92	1577.89	1577.92	4	0	90
2025.12.23	12:52:00	1577.96	1577.96	1577.95	1577.95	2	0	90
2025.12.23	12:53:00	1577.95	1577.96	1577.95	1577.96	2	0	90
2025.12.23	12:55:00	1577.95	1577.95	1577.95	1577.95	1	0	90
2025.12.23	12:56:00	1577.94	1577.94	1577.92	1577.92	2	0	90
2025.12.23	12:57:00	1577.91	1577.91	1577.88	1577.88	3	0	90
2025.12.23	12:58:00	1577.88	1577.88	1577.87	1577.87	2	0	90
2025.12.23	12:59:00	1577.73	1577.73	1577.60	1577.60	2	0	90
2025.12.23	13:00:00	1577.60	1577.60	1577.45	1577.45	4	0	90
2025.12.23	13:01:00	1577.44	1577.55	1577.44	1577.55	2	0	90
2025.12.23	13:02:00	1577.55	1577.55	1577.54	1577.54	2	0	90
2025.12.23	13:03:00	1577.54	1577.54	1577.54	1577.54	1	0	90
2025.12.23	13:04:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:05:00	1577.37	1577.49	1577.33	1577.33	6	0	90
2025.12.23	13:06:00	1577.32	1577.44	1577.32	1577.43	5	0	90
2025.12.23	13:07:00	1577.42	1577.42	1577.39	1577.39	4	0	90
2025.12.23	13:09:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:10:00	1577.38	1577.39	1577.38	1577.39	2	0	90
2025.12.23	13:11:00	1577.39	1577.39	1577.39	1577.39	1	0	90
2025.12.23	13:12:00	1577.39	1577.39	1577.39	1577.39	1	0	90
2025.12.23	13:13:00	1577.39	1577.39	1577.38	1577.38	2	0	90
2025.12.23	13:14:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:15:00	1577.38	1577.38	1577.25	1577.38	5	0	90
2025.12.23	13:16:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:17:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:19:00	1577.37	1577.37	1577.37	1577.37	1	0	90
2025.12.23	13:20:00	1577.37	1577.37	1577.37	1577.37	1	0	90
2025.12.23	13:21:00	1577.37	1577.37	1577.37	1577.37	1	0	90
2025.12.23	13:22:00	1577.37	1577.37	1577.37	1577.37	1	0	90
2025.12.23	13:23:00	1577.37	1577.37	1577.36	1577.36	2	0	90
2025.12.23	13:24:00	1577.36	1577.37	1577.36	1577.37	2	0	90
2025.12.23	13:25:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	13:26:00	1577.39	1577.40	1577.39	1577.40	2	0	90
2025.12.23	13:27:00	1577.40	1577.40	1577.40	1577.40	1	0	90
2025.12.23	13:28:00	1577.41	1577.41	1577.41	1577.41	1	0	90
2025.12.23	13:29:00	1577.41	1577.41	1577.41	1577.41	1	0	90
2025.12.23	13:30:00	1577.41	1577.41	1577.41	1577.41	1	0	90
2025.12.23	13:31:00	1577.41	1577.41	1577.41	1577.41	1	0	90
2025.12.23	13:32:00	1577.41	1577.41	1577.40	1577.40	2	0	90
2025.12.23	13:33:00	1577.41	1577.41	1577.41	1577.41	1	0	90
